RunningID,Ra,Dec,X,Y,Flux1,dFlux1,Flux2,dFlux2,Flux3,dFlux3,Class,Mag1,dMag1,Mag2,dMag2,Mag3,dMag3,StarID,MJD,FieldId
1.0,6674.99,3.0,3720.01,222.755,5310.64,317.625,6762.83,452.416,4.70663,-0.529793,-2.0,17.6499,0.0650143,17.7527,0.0649373,17.8376,0.0726332,0,57257.0504323,1
7.0,6839.79,3.14967,5382.12,223.552,9520.65,319.102,15088.0,454.541,4.7069,-0.529928,1.0,17.2489,0.0450973,17.1189,0.0363905,16.9664,0.032709,1,57257.0504323,1
4.0,6353.55,3.17909,5058.67,223.356,7829.41,318.428,9649.61,453.071,4.70609,-0.529529,-1.0,17.3162,0.0479388,17.3312,0.0441578,17.4517,0.0509779,2,57257.0504323,1
11.0,5895.95,3.80909,2041.84,224.126,3059.69,320.378,3995.24,456.531,4.70533,-0.529153,-1.0,18.3012,0.119178,18.3513,0.113687,18.4091,0.124066,3,57257.0504323,1
10.0,5808.33,3.28236,7261.59,229.351,11615.9,327.805,14185.3,465.27,4.70518,-0.529082,-1.0,16.9237,0.0342921,16.9029,0.03064,17.0334,0.0356115,4,57257.0504323,1
8.0,6873.41,3.16715,6278.12,223.951,11817.7,319.826,19528.6,455.532,4.70696,-0.529955,1.0,17.0817,0.0387301,16.8842,0.0293836,16.6863,0.0253265,5,57257.0504323,1
5.0,6570.4,3.16702,5284.18,223.459,8554.71,318.66,11162.9,453.415,4.70645,-0.529707,1.0,17.2688,0.045914,17.235,0.0404434,17.2935,0.0441007,6,57257.0504323,1
6.0,6578.22,3.24888,4578.06,223.144,7237.93,318.244,9245.84,452.985,4.70647,-0.529713,-2.0,17.4246,0.0529211,17.4165,0.0477388,17.4981,0.053194,7,57257.0504323,1
9.0,5441.37,3.28281,7985.21,229.773,13165.0,328.462,17215.4,466.175,4.70457,-0.52878,-2.0,16.8206,0.0312419,16.767,0.0270889,16.8232,0.0294006,8,57257.0504323,1
15.0,6137.4,3.68064,8219.58,224.754,11698.1,319.638,14579.2,454.161,4.70573,-0.529351,-1.0,16.7891,0.0296882,16.8952,0.0296667,17.0036,0.0338223,9,57257.0504323,1
16.0,6467.72,3.65002,8476.69,224.869,14113.2,320.399,18449.1,455.028,4.70628,-0.529622,-2.0,16.7557,0.0288025,16.6915,0.0246486,16.748,0.0267787,10,57257.0504323,1
18.0,5597.02,4.65127,2060.77,224.581,3194.47,321.132,4366.67,457.594,4.70483,-0.528906,-1.0,18.2912,0.118323,18.3045,0.109147,18.3126,0.113777,11,57257.0504323,1
22.0,5923.74,3.89935,8527.15,227.102,13429.6,323.79,19036.0,460.086,4.70538,-0.529175,-2.0,16.7493,0.0289163,16.7454,0.0261774,16.714,0.0262416,12,57257.0504323,1
34.0,4240.77,5.61614,6519.58,220.498,9202.25,316.973,11581.6,454.944,4.70258,-0.52779,0.0,17.0407,0.0367207,17.1558,0.0373985,17.2535,0.0426497,13,57257.0504323,1
21.0,5832.2,4.97721,4318.66,225.048,6651.11,321.424,9163.44,457.635,4.70523,-0.529099,-1.0,17.4879,0.0565785,17.5083,0.0524699,17.5078,0.0542234,14,57257.0504323,1
33.0,4018.88,6.4134,3981.44,220.062,5476.48,316.801,6930.92,455.356,4.70221,-0.527606,-1.0,17.5762,0.060011,17.7193,0.0628074,17.811,0.0713323,15,57257.0504323,1
30.0,6627.78,5.65799,5395.44,223.31,8621.88,318.502,12067.2,453.51,4.70655,-0.529751,-1.0,17.2462,0.0449373,17.2265,0.0401085,17.2089,0.0408043,16,57257.0504323,1
26.0,4958.52,5.23029,5506.07,224.814,8741.92,322.49,11370.2,460.413,4.70377,-0.528381,-2.0,17.2242,0.0443311,17.2115,0.040053,17.2735,0.0439649,17,57257.0504323,1
28.0,6226.27,6.11326,3020.39,222.283,4811.86,317.324,6740.64,452.328,4.70588,-0.52942,1.0,17.8761,0.0799039,17.8598,0.0716006,17.8412,0.0728581,18,57257.0504323,1
40.0,6151.15,6.72963,3926.03,222.682,6433.33,317.833,9488.15,452.942,4.70576,-0.529358,1.0,17.5914,0.0615825,17.5444,0.0536401,17.47,0.0518306,19,57257.0504323,1
56.0,5864.4,8.25681,2354.89,224.192,3807.4,320.562,5343.66,456.828,4.70528,-0.52912,1.0,18.1463,0.103365,18.114,0.0914134,18.0934,0.0928196,20,57257.0504323,1
32.0,6913.54,4.1205,30419.8,234.437,48691.1,331.224,68796.5,466.387,4.70703,-0.529987,-1.0,15.3684,0.00836751,15.3469,0.00738582,15.319,0.00736047,21,57257.0504323,1
36.0,5512.89,4.75107,13705.7,229.69,21617.3,326.836,31265.7,463.475,4.70469,-0.528837,-1.0,16.234,0.0181956,16.2285,0.0164155,16.1753,0.0160948,22,57257.0504323,1
48.0,6166.68,5.26946,8626.05,224.776,14545.1,320.393,21734.0,455.68,4.70578,-0.529373,1.0,16.7367,0.028292,16.6587,0.0239161,16.5701,0.0227639,23,57257.0504323,1
37.0,6446.29,6.01667,9358.89,225.101,14746.3,320.458,20695.2,455.451,4.70625,-0.529601,-1.0,16.6482,0.0261144,16.6438,0.0235947,16.6233,0.0238945,24,57257.0504323,1
41.0,3778.32,7.58599,4118.84,221.115,5871.86,318.402,7301.22,457.657,4.70181,-0.527406,-1.0,17.5393,0.0582867,17.6436,0.0588743,17.7545,0.0680567,25,57257.0504323,1
57.0,6437.49,8.75801,2388.3,221.995,3777.7,316.993,5043.66,451.946,4.70624,-0.52959,-1.0,18.131,0.100921,18.1225,0.0911062,18.1561,0.0972897,26,57257.0504323,1
43.0,5094.78,4.6379,20941.8,235.483,34982.7,335.303,48501.3,473.184,4.704,-0.528494,-1.0,15.7737,0.0122087,15.7059,0.0104066,15.6986,0.0105926,27,57257.0504323,1
38.0,4967.63,6.14911,8119.92,226.224,12897.4,324.081,17670.5,462.094,4.70379,-0.528387,-1.0,16.8024,0.0302491,16.7893,0.0272821,16.7948,0.0283927,28,57257.0504323,1
55.0,4996.17,8.09329,3580.2,223.307,5436.64,319.787,7292.65,456.622,4.70384,-0.528407,-1.0,17.6915,0.0677205,17.7272,0.063864,17.7557,0.0679825,29,57257.0504323,1
39.0,4186.63,7.08499,4061.27,223.609,6560.21,321.137,9235.75,459.296,4.70249,-0.527743,1.0,17.5546,0.0597797,17.5232,0.0531494,17.4993,0.0539941,30,57257.0504323,1
52.0,4814.76,7.22325,7333.45,225.563,11689.3,323.345,16305.3,461.452,4.70354,-0.52826,-1.0,16.913,0.0333953,16.8961,0.0300333,16.8821,0.0307272,31,57257.0504323,1
45.0,5849.1,7.0701,10907.0,227.971,16777.2,324.612,23763.0,460.897,4.70526,-0.52911,-1.0,16.482,0.0226934,16.5037,0.0210073,16.4732,0.0210586,32,57257.0504323,1
46.0,5853.8,3.01025,6997.79,229.227,10864.5,327.559,15827.7,465.623,4.70526,-0.529119,1.0,16.9639,0.0355657,16.9755,0.0327345,16.9144,0.0319405,33,57257.0504323,1
66.0,6715.11,9.01913,7327.97,224.172,11122.3,319.292,15269.4,454.226,4.7067,-0.529817,-1.0,16.9138,0.0332142,16.9501,0.0311688,16.9534,0.0322981,34,57257.0504323,1
50.0,4694.55,7.16799,12308.9,227.64,19366.6,325.608,26487.6,463.574,4.70334,-0.528161,-1.0,16.3507,0.0200796,16.3479,0.0182544,16.3554,0.0190021,35,57257.0504323,1
68.0,4350.25,9.75812,3023.97,223.265,4821.44,320.729,6848.55,458.9,4.70277,-0.527874,1.0,17.8748,0.0801621,17.8576,0.0722249,17.824,0.0727521,36,57257.0504323,1
51.0,4776.67,6.90812,12318.4,227.699,19579.6,325.742,27668.6,463.908,4.70347,-0.528229,-1.0,16.3499,0.0200694,16.336,0.0180633,16.308,0.0182042,37,57257.0504323,1
59.0,4979.12,7.69383,5007.05,224.319,8519.8,321.243,13364.7,458.501,4.70381,-0.528394,1.0,17.3273,0.0486419,17.2395,0.0409384,17.0981,0.0372483,38,57257.0504323,1
65.0,5571.12,7.62633,8506.44,227.525,13384.5,324.468,18399.0,460.896,4.70479,-0.528881,-1.0,16.7519,0.0290407,16.749,0.0263206,16.751,0.0271978,39,57257.0504323,1
61.0,6013.06,8.35587,7286.03,224.131,11545.5,319.405,16209.5,454.424,4.70553,-0.529242,-1.0,16.92,0.0333993,16.9095,0.0300369,16.8885,0.0304381,40,57257.0504323,1
77.0,4199.49,10.6558,3090.39,223.161,4741.44,320.541,5941.88,458.528,4.70252,-0.527749,-1.0,17.8512,0.0784029,17.8758,0.0734005,17.9781,0.0837853,41,57257.0504323,1
62.0,4316.2,5.9095,41342.1,239.758,59602.8,337.585,76197.2,474.142,4.70271,-0.527851,0.0,15.0353,0.00629661,15.1274,0.00614954,15.2081,0.00675608,42,57257.0504323,1
75.0,6103.93,8.95091,9351.65,225.099,14227.2,320.296,19679.0,455.226,4.70568,-0.529316,-1.0,16.649,0.0261343,16.6827,0.0244432,16.6779,0.0251159,43,57257.0504323,1
73.0,5427.48,8.87838,12920.8,229.39,20476.2,326.572,28397.2,462.954,4.70456,-0.528761,-1.0,16.298,0.0192758,16.2874,0.0173163,16.2798,0.0177006,44,57257.0504323,1
88.0,4682.38,11.5047,1409.66,222.492,2548.62,319.946,3921.1,458.176,4.70332,-0.528145,1.0,18.7035,0.171366,18.5498,0.136301,18.4294,0.126868,45,57257.0504323,1
89.0,5396.33,10.0668,7243.53,226.966,11561.3,323.901,16672.6,460.518,4.70451,-0.528733,1.0,16.9264,0.0340202,16.908,0.0304181,16.8579,0.0299894,46,57257.0504323,1
105.0,4027.52,11.6612,2610.22,223.82,4182.71,321.581,5712.63,460.136,4.70223,-0.527606,1.0,18.0346,0.0930996,18.0119,0.0834754,18.0209,0.0874532,47,57257.0504323,1
