RunningID,Ra,Dec,X,Y,Flux1,dFlux1,Flux2,dFlux2,Flux3,dFlux3,Class,Mag1,dMag1,Mag2,dMag2,Mag3,dMag3,StarID,MJD,FieldId
402477.0,7297.15,8340.09,2988.96,126.374,4822.24,185.089,7212.64,273.076,4.71552,-0.518309,-1.0,17.395,0.0459056,17.4036,0.0416733,17.3725,0.0411069,300000,57268.1671072,3
402237.0,5231.65,8336.03,2676.82,129.812,4368.19,188.7,6355.84,276.034,4.71209,-0.516631,-1.0,17.5147,0.0526531,17.511,0.0469026,17.5098,0.0471537,300001,57268.1671072,3
402346.0,5221.79,8337.97,3586.74,130.234,5791.21,189.174,8598.58,276.609,4.71208,-0.51662,-1.0,17.197,0.0394232,17.2048,0.0354665,17.1816,0.0349273,300002,57268.1671072,3
402885.0,6160.28,8340.66,2036.87,131.691,3425.01,190.959,5207.23,278.574,4.71363,-0.517382,1.0,17.8114,0.070197,17.7751,0.0605346,17.7262,0.0580843,300003,57268.1671072,3
402503.0,10718.4,8341.78,1045.68,134.833,1797.45,195.198,2734.84,283.974,4.7212,-0.521083,1.0,18.5353,0.139999,18.4751,0.117908,18.4254,0.112738,300004,57268.1671072,3
402566.0,4890.25,8328.61,20659.5,141.183,34254.8,202.002,50706.7,289.991,4.71152,-0.516363,-1.0,15.296,0.00741974,15.2749,0.00640266,15.255,0.00620933,300005,57268.1671072,3
402567.0,4878.67,8332.97,7835.59,132.669,12751.0,191.78,18757.6,279.089,4.7115,-0.516347,-1.0,16.3486,0.0183834,16.3479,0.0163299,16.3348,0.0161544,300006,57268.1671072,3
402568.0,4888.69,8338.42,3573.09,129.685,6020.0,188.429,9047.54,275.652,4.71153,-0.516348,-1.0,17.2012,0.039407,17.1627,0.0339841,17.1264,0.0330793,300007,57268.1671072,3
402569.0,4889.2,8320.9,8741.75,133.267,14164.4,192.438,21212.1,279.904,4.71151,-0.516373,-1.0,16.2298,0.0165519,16.2337,0.0147509,16.2013,0.0143269,300008,57268.1671072,3
402518.0,5200.8,8341.39,1478.53,128.982,2475.27,187.774,3676.77,275.111,4.71204,-0.516598,1.0,18.1592,0.094716,18.1277,0.0823641,18.104,0.0812394,300009,57268.1671072,3
402370.0,2372.41,8320.69,22600.7,141.699,38010.6,202.442,56223.8,289.644,4.70735,-0.514315,-1.0,15.1985,0.00680721,15.162,0.0057826,15.1429,0.00559333,300010,57268.1671072,3
402371.0,2382.09,8336.96,7905.42,132.058,12518.4,190.447,18451.2,276.854,4.70738,-0.514299,-1.0,16.339,0.0181371,16.3679,0.0165178,16.3526,0.0162912,300011,57268.1671072,3
402369.0,2378.5,8310.82,2005.89,128.035,3271.84,185.957,4715.3,272.099,4.70735,-0.514334,-1.0,17.828,0.0693025,17.8247,0.0617086,17.8339,0.0626533,300012,57268.1671072,3
402360.0,4079.38,8340.11,637.622,126.004,1039.02,184.125,1445.68,271.201,4.71019,-0.515684,-1.0,19.0724,0.214559,19.0702,0.192404,19.1175,0.203678,300013,57268.1671072,3
402464.0,6632.32,8341.29,1203.94,131.212,1970.29,190.342,2814.96,277.814,4.71442,-0.517766,-1.0,18.3823,0.11833,18.3754,0.104889,18.394,0.107154,300014,57268.1671072,3
402562.0,2213.72,8338.05,9882.22,133.413,16091.2,192.199,23855.8,278.759,4.7071,-0.51416,-1.0,16.0966,0.0146579,16.0953,0.0129685,16.0737,0.012687,300015,57268.1671072,3
403095.0,1664.12,8341.77,1611.92,129.773,2638.11,187.691,4034.12,273.651,4.7062,-0.513704,1.0,18.0654,0.0874111,18.0585,0.0772462,18.0033,0.0736503,300016,57268.1671072,3
402492.0,1473.03,8340.92,977.352,129.309,1571.57,187.143,2349.83,273.046,4.70588,-0.513548,1.0,18.6087,0.14365,18.6209,0.12929,18.5901,0.126161,300017,57268.1671072,3
402502.0,453.224,8339.91,5786.97,131.311,9151.09,189.524,13021.8,275.636,4.7042,-0.512712,-1.0,16.6777,0.0246362,16.708,0.0224862,16.731,0.0229822,300018,57268.1671072,3
402437.0,357.432,8338.17,4266.1,130.258,7304.81,188.614,11003.1,274.926,4.70404,-0.512636,1.0,17.0087,0.0331512,16.9527,0.0280344,16.9139,0.0271286,300019,57268.1671072,3
398623.0,579.594,8265.0,5411.39,131.056,8852.83,189.383,12920.5,275.609,4.70434,-0.512924,-1.0,16.7505,0.026295,16.744,0.0232266,16.7395,0.02316,300020,57268.1671072,3
402425.0,544.169,8333.28,11462.5,135.162,18687.6,194.144,27458.3,280.638,4.70435,-0.512797,-1.0,15.9356,0.0128027,15.9328,0.0112797,15.921,0.0110968,300021,57268.1671072,3
402421.0,571.678,8290.68,142015.0,204.552,235422.0,279.13,341590.0,373.039,4.70435,-0.51288,-1.0,13.2029,0.00156385,13.1821,0.00128731,13.1839,0.0011857,300022,57268.1671072,3
402422.0,554.904,8276.31,6596.64,131.893,10797.5,190.368,15925.0,276.706,4.70431,-0.512887,-1.0,16.5355,0.0217083,16.5284,0.0191424,16.5125,0.0188654,300023,57268.1671072,3
402424.0,558.24,8323.04,12891.4,136.112,21308.9,195.393,32915.7,282.5,4.70436,-0.512823,1.0,15.808,0.0114636,15.7903,0.00995573,15.7242,0.0093184,300024,57268.1671072,3
402430.0,565.164,8313.7,5637.58,131.213,9308.4,189.608,14031.8,275.999,4.70436,-0.512842,-1.0,16.7061,0.0252702,16.6895,0.022116,16.6499,0.021356,300025,57268.1671072,3
