RunningID,Ra,Dec,X,Y,Flux1,dFlux1,Flux2,dFlux2,Flux3,dFlux3,Class,Mag1,dMag1,Mag2,dMag2,Mag3,dMag3,StarID,MJD,FieldId
10.0,6674.97,4.77141,4299.52,188.722,6914.41,264.553,10246.8,369.029,4.70662,-0.529796,1.0,16.9527,0.0476571,16.9376,0.0415417,16.876,0.0391018,0,57267.1596647,1
15.0,6839.9,5.17295,4102.66,187.95,6806.76,263.772,10506.9,368.428,4.7069,-0.529931,1.0,17.0036,0.0497397,16.9546,0.042074,16.8487,0.0380718,1,57267.1596647,1
14.0,6353.72,5.57678,4074.4,188.245,6750.62,264.085,9790.18,368.502,4.70609,-0.529531,1.0,17.0111,0.0501633,16.9636,0.0424742,16.9255,0.0408672,2,57267.1596647,1
34.0,5896.1,7.598,1364.19,177.454,2105.93,251.711,2776.08,356.824,4.70533,-0.529153,-1.0,18.199,0.141234,18.2283,0.129773,18.2939,0.139555,3,57267.1596647,1
26.0,5808.55,6.03713,5632.55,180.268,8901.06,254.903,12411.6,360.042,4.70518,-0.529083,-1.0,16.6595,0.0347487,16.6633,0.0310927,16.6679,0.0314956,4,57267.1596647,1
16.0,6873.38,5.17004,6219.14,189.2,10215.3,265.199,14972.1,369.754,4.70695,-0.529958,1.0,16.5519,0.0330307,16.5138,0.0281869,16.4642,0.0268137,5,57267.1596647,1
17.0,6570.3,4.95881,5883.9,189.645,9704.62,265.708,14646.8,370.325,4.70645,-0.52971,1.0,16.6121,0.0349948,16.5695,0.0297271,16.4881,0.0274514,6,57267.1596647,1
18.0,6578.25,6.12664,3156.59,187.718,5056.34,263.397,7281.88,367.785,4.70646,-0.529715,-1.0,17.2882,0.0645674,17.2774,0.0565588,17.2468,0.0548373,7,57267.1596647,1
25.0,5441.31,5.18542,12871.6,182.594,20673.1,257.633,29906.8,363.211,4.70457,-0.528783,-1.0,15.7621,0.0154021,15.7484,0.0135307,15.713,0.0131861,8,57267.1596647,1
37.0,6137.64,6.80467,5596.47,189.144,9352.52,265.174,13817.9,369.7,4.70573,-0.529352,1.0,16.6664,0.0366947,16.6096,0.0307843,16.5513,0.0290491,9,57267.1596647,1
39.0,6467.96,7.05505,5055.14,188.772,8016.57,264.557,11700.6,369.011,4.70628,-0.529623,-1.0,16.7769,0.0405443,16.777,0.0358308,16.7319,0.034242,10,57267.1596647,1
33.0,5597.08,8.33905,1277.22,176.666,2005.61,250.856,2744.48,356.134,4.70483,-0.528906,-1.0,18.2706,0.150181,18.2813,0.135802,18.3063,0.14089,11,57267.1596647,1
42.0,5923.95,7.68847,5389.83,179.72,8642.63,254.331,12653.1,359.674,4.70538,-0.529176,1.0,16.7073,0.0362032,16.6953,0.0319506,16.6469,0.030863,12,57267.1596647,1
57.0,4241.01,8.25661,10334.5,174.266,16494.0,248.095,23491.7,353.721,4.70258,-0.527791,-1.0,16.0005,0.0183085,15.9936,0.0163312,15.9752,0.0163483,13,57267.1596647,1
48.0,5832.42,8.84643,2723.95,178.291,4271.24,252.664,5768.23,357.782,4.70523,-0.529099,-1.0,17.4482,0.0710651,17.4606,0.0642267,17.4998,0.0673446,14,57267.1596647,1
53.0,4019.21,9.02427,4597.31,170.945,7134.5,244.26,9855.39,349.798,4.70221,-0.527608,-1.0,16.88,0.0403718,16.9035,0.0371719,16.9183,0.0385363,15,57267.1596647,1
62.0,6627.75,9.37774,3270.57,187.761,5428.55,263.521,7934.17,367.941,4.70655,-0.529751,1.0,17.2497,0.0623316,17.2002,0.0527057,17.1537,0.0503504,16,57267.1596647,1
58.0,4958.6,8.81957,3430.85,176.563,5577.06,250.762,7979.7,355.968,4.70377,-0.528381,-1.0,17.1977,0.0558758,17.1709,0.0488182,17.1475,0.048434,17,57267.1596647,1
50.0,6226.66,9.95886,1936.59,186.998,3242.28,262.635,4851.52,367.056,4.70588,-0.529421,1.0,17.8186,0.10484,17.7598,0.0879484,17.6877,0.0821448,18,57267.1596647,1
63.0,6151.36,10.5204,2526.74,187.362,4392.31,263.135,6860.18,367.672,4.70576,-0.529358,1.0,17.5298,0.0805094,17.4302,0.0650445,17.3116,0.0581903,19,57267.1596647,1
72.0,5864.7,12.0673,1658.71,177.713,2642.58,252.041,3851.22,357.265,4.70528,-0.529121,1.0,17.9868,0.116326,17.9819,0.103554,17.9384,0.100721,20,57267.1596647,1
55.0,6913.57,7.61262,16162.2,194.329,27043.1,271.391,39245.8,376.143,4.70702,-0.529988,1.0,15.515,0.0130546,15.4568,0.010896,15.418,0.010406,21,57267.1596647,1
56.0,5513.12,8.53833,8745.04,180.662,14088.6,255.445,20094.4,360.84,4.70469,-0.528837,-1.0,16.1818,0.0224301,16.1648,0.0196859,16.1447,0.0194969,22,57267.1596647,1
69.0,6166.98,8.87452,5387.94,189.023,8924.59,265.0,13800.5,369.695,4.70578,-0.529373,1.0,16.7077,0.0380907,16.6605,0.0322391,16.5527,0.0290854,23,57267.1596647,1
73.0,6446.52,9.84453,5327.88,188.969,8827.96,264.935,12915.8,369.409,4.70625,-0.529601,1.0,16.7198,0.038509,16.6723,0.0325841,16.6246,0.0310535,24,57267.1596647,1
67.0,3778.76,11.2783,2712.45,173.432,4271.81,247.11,5918.59,351.917,4.70181,-0.527406,-1.0,17.4528,0.0694214,17.4604,0.0628065,17.4719,0.0645577,25,57267.1596647,1
77.0,6437.78,12.3891,1985.96,187.033,3225.48,262.636,4458.31,366.948,4.70624,-0.52959,-1.0,17.7913,0.102252,17.7655,0.0884066,17.7795,0.0893636,26,57267.1596647,1
75.0,5095.32,7.79398,12257.6,182.351,20922.6,257.849,32932.2,364.184,4.704,-0.528495,1.0,15.8152,0.0161521,15.7354,0.0133806,15.6084,0.0120068,27,57267.1596647,1
70.0,4967.78,9.93032,5144.34,177.511,8056.29,251.733,11318.4,356.91,4.70379,-0.528387,-1.0,16.7579,0.0374645,16.7716,0.0339259,16.768,0.0342374,28,57267.1596647,1
86.0,4996.34,11.8334,2170.48,175.764,3410.21,249.797,4625.82,354.93,4.70384,-0.528408,-1.0,17.6948,0.0879225,17.705,0.0795303,17.7395,0.0833067,29,57267.1596647,1
66.0,4187.03,11.0837,2429.53,169.71,3692.73,242.857,5077.85,348.378,4.70249,-0.527743,-1.0,17.5724,0.0758424,17.6186,0.071405,17.6382,0.0744898,30,57267.1596647,1
84.0,4814.98,10.9738,5174.25,171.121,7960.07,244.413,11270.1,350.036,4.70354,-0.52826,-1.0,16.7516,0.0359072,16.7847,0.0333376,16.7726,0.0337219,31,57267.1596647,1
194.0,5849.29,10.8999,7618.14,179.797,11824.8,254.262,16645.3,359.568,4.70526,-0.52911,-1.0,16.3316,0.0256248,16.355,0.0233462,16.3492,0.0234539,32,57267.1596647,1
