RunningID,Ra,Dec,X,Y,Flux1,dFlux1,Flux2,dFlux2,Flux3,dFlux3,Class,Mag1,dMag1,Mag2,dMag2,Mag3,dMag3,StarID
317228.0,7294.84,8338.27,3411.67,187.828,5729.79,266.994,8792.8,381.19,4.71552,-0.518309,-1.0,15.5386,0.0597748,15.5405,0.0505928,15.5329,0.0470696,300000
317229.0,5230.0,8334.4,3847.32,186.048,6467.15,264.085,9844.6,375.913,4.71209,-0.516631,-1.0,15.4081,0.0525041,15.409,0.0443359,15.4102,0.0414587,300001
317230.0,5220.08,8336.3,5028.29,186.67,8385.53,264.8,12802.2,376.695,4.71208,-0.516621,-1.0,15.1174,0.0403069,15.127,0.0342857,15.125,0.0319471,300002
317231.0,6158.58,8339.01,2021.78,194.507,3371.96,275.035,5076.37,389.338,4.71363,-0.517382,-1.0,16.1066,0.104455,16.1161,0.0885586,16.1293,0.0832722,300003
317232.0,10715.2,8339.82,770.571,188.548,1289.49,268.264,1961.64,382.51,4.7212,-0.521084,1.0,17.1539,0.265665,17.1598,0.225876,17.1617,0.211713,300004
317233.0,4888.53,8327.01,41066.2,207.776,69444.1,289.871,107258.0,403.844,4.71152,-0.516363,-1.0,12.8373,0.00549335,12.8317,0.00453206,12.8171,0.00408798,300005
317234.0,4877.08,8331.3,9678.9,192.064,16240.4,270.845,25078.4,382.791,4.7115,-0.516348,-1.0,14.4064,0.021545,14.4093,0.0181072,14.395,0.0165725,300006
317235.0,4887.09,8336.61,4489.94,189.393,7717.12,267.739,12465.0,379.537,4.71153,-0.516348,1.0,15.2404,0.0457983,15.2172,0.0376688,15.154,0.0330589,300007
317236.0,4888.0,8319.46,4749.02,189.576,8360.48,268.031,14126.0,380.027,4.71151,-0.516374,1.0,15.1795,0.0433417,15.1302,0.0348081,15.0182,0.0292092,300008
317237.0,5199.01,8339.63,1075.95,184.609,1804.97,262.376,2689.06,374.063,4.71204,-0.516599,1.0,16.7915,0.186289,16.7947,0.157827,16.8192,0.151032,300009
317238.0,2371.18,8318.98,47536.3,212.294,78797.9,296.107,121217.0,412.597,4.70735,-0.514315,-1.0,12.6784,0.00484884,12.6945,0.00408,12.6843,0.00369563,300010
317239.0,2380.99,8335.05,15331.4,196.485,24911.2,277.153,38165.7,391.632,4.70738,-0.5143,-1.0,13.907,0.0139147,13.9448,0.0120795,13.939,0.0111412,300011
317240.0,2377.31,8309.27,3510.68,190.361,6016.31,270.202,9354.82,384.102,4.70735,-0.514334,1.0,15.5075,0.0588723,15.4875,0.0487624,15.4656,0.0445797,300012
317241.0,4077.76,8338.86,1073.07,187.297,1845.72,264.89,2971.34,375.932,4.71019,-0.515684,1.0,16.7944,0.189509,16.7704,0.155821,16.7108,0.137367,300013
317242.0,6630.22,8339.82,925.202,193.963,1517.14,274.383,2261.14,388.642,4.71442,-0.517766,1.0,16.9554,0.227619,16.9833,0.196362,17.0074,0.186615,300014
317244.0,2212.9,8335.96,6191.15,191.633,10305.3,271.615,16245.0,385.689,4.7071,-0.514161,-2.0,14.8916,0.0336066,14.9032,0.0286165,14.8664,0.0257776,300015
317245.0,1662.15,8339.29,1079.5,191.927,1948.72,272.334,3275.26,387.1,4.7062,-0.513704,1.0,16.7879,0.193036,16.7115,0.151733,16.6051,0.128323,300016
317246.0,1472.55,8339.35,1154.2,192.017,2046.22,272.438,3298.04,387.191,4.70589,-0.513549,1.0,16.7153,0.180628,16.6584,0.144558,16.5976,0.127466,300017
317247.0,452.471,8338.3,3208.78,201.469,5254.71,284.675,7341.91,401.744,4.7042,-0.512712,-1.0,15.6051,0.06817,15.6345,0.0588203,15.7287,0.0594109,300018
317248.0,356.063,8334.92,6020.34,202.991,11067.6,286.901,19929.0,405.152,4.70404,-0.512638,1.0,14.9219,0.0366084,14.8257,0.0281451,14.6445,0.0220728,300019
317249.0,578.765,8263.38,7714.82,203.895,13028.2,287.654,19854.2,405.166,4.70434,-0.512924,-1.0,14.6527,0.0286951,14.6486,0.0239723,14.6486,0.0221567,300020
317250.0,543.45,8331.78,14107.6,207.171,23934.0,291.614,36712.7,409.501,4.70435,-0.512797,-1.0,13.9973,0.0159442,13.9883,0.0132287,13.9812,0.0121106,300021
317251.0,571.53,8289.11,172117.0,276.816,374942.0,399.953,809146.0,576.678,4.70435,-0.512881,-1.0,11.2814,0.0017462,11.0009,0.00115816,10.6231,0.000773807,300022
317252.0,554.205,8274.63,11217.7,205.805,18742.6,289.888,28382.4,407.581,4.70431,-0.512887,-1.0,14.2462,0.0199195,14.2538,0.0167929,14.2606,0.0155916,300023
317253.0,557.547,8321.52,29063.2,214.788,49684.6,300.97,76236.0,419.791,4.70436,-0.512823,-1.0,13.2126,0.00802403,13.1953,0.006577,13.1878,0.00597859,300024
317254.0,564.376,8311.99,10317.0,205.263,17457.1,289.307,27118.7,407.097,4.70436,-0.512842,-1.0,14.3371,0.0216013,14.3309,0.0179934,14.31,0.0162988,300025
317255.0,572.96,8315.81,7468.52,203.778,12396.0,287.435,19086.4,404.987,4.70438,-0.512844,-1.0,14.6879,0.0296244,14.7026,0.0251759,14.6914,0.0230379,300026
317256.0,561.426,8271.11,9433.14,204.848,15918.3,288.802,24361.4,406.464,4.70432,-0.512898,-1.0,14.4343,0.0235777,14.4311,0.0196984,14.4265,0.0181153,300027
317257.0,573.585,8272.78,11641.9,205.968,19991.7,290.267,31498.3,408.281,4.70434,-0.512906,1.0,14.2059,0.019209,14.1837,0.0157642,14.1475,0.0140733,300028
317258.0,568.056,8299.76,21356.1,210.918,36905.8,296.391,61229.5,415.939,4.70436,-0.512863,1.0,13.5472,0.010723,13.5181,0.00871961,13.4258,0.00737555,300029
317259.0,2067.16,8336.25,10085.3,195.92,16727.1,276.945,25207.0,391.683,4.70686,-0.514041,-1.0,14.3618,0.0210919,14.3773,0.0179763,14.3894,0.016871,300030
317260.0,2075.0,8333.77,8655.89,195.137,14267.8,275.986,21649.8,390.685,4.70687,-0.514051,-1.0,14.5277,0.0244767,14.5499,0.0210017,14.5546,0.0195929,300031
317261.0,417.515,8334.79,15669.2,207.952,26313.9,292.452,39622.8,410.215,4.70414,-0.512689,-1.0,13.8834,0.0144093,13.8854,0.0120669,13.8984,0.0112407,300032
317262.0,557.759,8340.61,1136.26,200.478,1975.33,283.598,3082.95,400.829,4.70438,-0.512796,1.0,16.7323,0.191564,16.6967,0.15588,16.6708,0.141162,300033
317265.0,9957.84,8340.24,1385.93,187.797,2330.0,266.965,3562.07,380.766,4.71994,-0.520469,1.0,16.5166,0.14712,16.5174,0.124401,16.514,0.11606,300034
317266.0,6650.87,8338.47,2943.75,194.973,5048.97,275.636,7851.53,390.042,4.71445,-0.517784,1.0,15.6987,0.0719117,15.6778,0.0592734,15.6558,0.0539365,300035
317267.0,5964.71,8339.45,2266.81,191.881,3751.93,271.563,5375.06,385.01,4.71331,-0.517224,-1.0,15.9824,0.0919056,16.0002,0.0785855,16.0673,0.0777704,300036
317268.0,12722.8,8338.64,8899.74,196.252,14670.8,278.963,21642.8,395.356,4.72454,-0.522709,-1.0,14.4975,0.0239422,14.5197,0.0206452,14.5549,0.0198336,300037
