RunningID,Ra,Dec,X,Y,Flux1,dFlux1,Flux2,dFlux2,Flux3,dFlux3,Class,Mag1,dMag1,Mag2,dMag2,Mag3,dMag3,StarID
3.0,6675.63,3.12913,4714.6,144.591,7596.0,215.882,9963.59,325.56,4.70663,-0.529794,-1.0,15.3266,0.0332984,15.3454,0.0308573,15.4639,0.0354765,0
8.0,6840.46,3.29401,5876.42,146.33,10773.7,218.358,17854.1,328.9,4.7069,-0.529929,1.0,15.0874,0.0270363,14.9659,0.0220054,14.8306,0.020001,1
5.0,6354.16,3.36776,5616.17,145.08,9364.78,216.563,12332.1,326.212,4.70609,-0.52953,-1.0,15.1366,0.0280474,15.1181,0.0251081,15.2324,0.0287202,2
14.0,5896.67,5.0268,1471.17,172.435,2249.67,248.146,2898.4,357.509,4.70533,-0.529152,-1.0,16.591,0.127259,16.6666,0.119761,16.8046,0.133923,3
10.0,5808.93,3.87191,7631.56,176.499,10868.4,252.306,13781.2,361.321,4.70518,-0.529082,0.0,14.8037,0.0251104,14.9564,0.0252052,15.1117,0.0284663,4
9.0,6873.96,3.23138,7125.33,146.999,13108.6,219.244,22776.4,330.226,4.70696,-0.529956,1.0,14.8782,0.0223993,14.753,0.0181593,14.5662,0.0157417,5
6.0,6571.04,3.14351,6672.93,145.689,10676.5,217.128,16057.1,327.32,4.70645,-0.529708,-2.0,14.9494,0.0237048,14.9758,0.0220807,14.9458,0.0221326,6
7.0,6578.77,3.30101,4168.16,144.344,6978.72,215.717,10677.0,325.862,4.70647,-0.529714,-2.0,15.4603,0.0375994,15.4374,0.033561,15.3888,0.0331369,7
15.0,5441.96,4.40921,6728.85,208.522,9370.97,289.422,11793.4,397.988,4.70457,-0.52878,0.0,14.9404,0.0336463,15.1174,0.033533,15.2809,0.0366401,8
17.0,6138.05,3.97417,7406.98,146.031,11139.1,217.228,15112.7,326.949,4.70573,-0.529352,-1.0,14.8361,0.0214057,14.9297,0.0211736,15.0116,0.0234891,9
11.0,6468.13,3.98216,7240.44,145.95,11737.9,217.467,17110.6,327.507,4.70628,-0.529622,-2.0,14.8608,0.0218859,14.8729,0.0201154,14.8768,0.0207818,10
19.0,5597.67,5.87595,1717.0,174.143,2556.15,250.12,3183.77,359.494,4.70483,-0.528906,-1.0,16.4233,0.110118,16.5279,0.10624,16.7026,0.122596,11
21.0,5924.35,4.88803,6917.74,175.067,11211.0,251.219,16177.5,360.762,4.70538,-0.529175,-1.0,14.9103,0.0274769,14.9227,0.0243296,14.9377,0.0242123,12
28.0,4242.16,7.63555,2252.08,187.653,3051.47,265.169,3530.99,373.341,4.70258,-0.527789,-1.0,16.1287,0.0904685,16.3356,0.0943494,16.5902,0.114798,13
30.0,5832.77,6.02355,3833.3,174.102,6124.81,250.069,8707.21,359.502,4.70523,-0.529098,-1.0,15.5513,0.0493126,15.5791,0.0443295,15.6103,0.0448278,14
45.0,4020.16,8.64828,3522.49,190.618,4961.19,269.139,6346.29,378.691,4.70221,-0.527605,-1.0,15.6431,0.0587544,15.8079,0.0589002,15.9537,0.0647874,15
26.0,6628.02,6.19837,5157.9,145.484,8419.47,216.923,12205.7,326.839,4.70655,-0.52975,-1.0,15.229,0.0306245,15.2336,0.0279735,15.2435,0.0290734,16
31.0,4959.61,6.77008,4217.56,189.593,6707.23,267.632,8970.7,375.958,4.70377,-0.52838,-1.0,15.4476,0.0488076,15.4805,0.0433233,15.5779,0.0455029,17
