RunningID,Ra,Dec,X,Y,Flux1,dFlux1,Flux2,dFlux2,Flux3,dFlux3,Class,Mag1,dMag1,Mag2,dMag2,Mag3,dMag3,StarID
137.0,6715.55,12.6962,13115.8,178.097,18287.1,268.854,21370.4,390.969,4.7067,-0.529817,-1.0,15.0413,0.0147431,15.0204,0.0159624,15.0194,0.0198635,34
120.0,4695.23,11.0941,20321.7,185.023,27554.9,272.939,32304.5,393.77,4.70334,-0.52816,-1.0,14.5659,0.00988531,14.5753,0.0107545,14.5708,0.0132344,35
155.0,4351.18,13.692,5346.15,177.436,7703.86,265.797,9457.42,387.937,4.70277,-0.527874,-1.0,16.0157,0.0360351,15.959,0.03746,15.9045,0.0445363,36
118.0,4777.29,10.907,22297.1,185.991,31508.4,274.334,37982.4,395.212,4.70347,-0.528228,-1.0,14.4652,0.0090567,14.4297,0.00945321,14.395,0.0112973,37
147.0,4979.24,11.7573,8334.88,177.93,12233.9,267.271,15460.1,389.559,4.70381,-0.528393,1.0,15.5336,0.023178,15.4569,0.0237199,15.3709,0.0273581,38
122.0,5571.68,11.4569,13630.8,180.994,18966.4,270.039,21931.0,391.391,4.70479,-0.52888,-1.0,14.9995,0.0144168,14.9808,0.0154585,14.9913,0.0193766,39
136.0,6013.65,12.0814,12562.6,177.821,17498.5,268.571,20952.8,390.86,4.70553,-0.529242,-1.0,15.0881,0.0153684,15.0683,0.0166642,15.0408,0.0202537,40
183.0,4200.22,14.5725,5441.81,178.544,7696.12,266.331,8884.46,387.972,4.70252,-0.527748,-1.0,15.9964,0.0356228,15.9601,0.037573,15.9724,0.0474128,41
117.0,4316.9,9.54284,63431.3,204.882,90484.0,294.22,109424.0,412.811,4.70271,-0.527851,-1.0,13.33,0.00350692,13.2844,0.00353042,13.2461,0.00409604,42
126.0,6104.61,12.5959,14087.0,178.577,20450.9,269.621,24010.1,391.635,4.70568,-0.529316,-1.0,14.9638,0.0137637,14.899,0.0143142,14.8929,0.0177098,43
164.0,5428.1,12.7905,21666.4,184.967,30428.8,274.061,36511.6,395.018,4.70456,-0.52876,-1.0,14.4963,0.00926903,14.4676,0.00977884,14.4378,0.0117466,44
200.0,4683.28,15.317,1934.29,175.663,3530.73,264.261,5104.02,386.796,4.70332,-0.528145,1.0,17.1195,0.0986014,16.8061,0.0812635,16.5741,0.0822804,45
185.0,5396.67,14.0443,11750.6,180.098,16679.5,269.223,20411.9,390.983,4.7045,-0.528733,-1.0,15.1607,0.0166408,15.1204,0.0175249,15.0692,0.020797,46
205.0,4028.28,15.7792,4742.08,183.626,6728.04,270.501,7831.06,390.341,4.70223,-0.527605,-1.0,16.1459,0.0420429,16.1061,0.0436522,16.1094,0.0541189,47
144.0,6269.56,13.5786,18054.5,180.533,26366.0,271.712,30991.9,393.401,4.70596,-0.52945,-1.0,14.6943,0.0108567,14.6232,0.0111889,14.6158,0.013782,48
146.0,6268.81,7.84588,11450.4,177.26,16650.6,268.26,20576.7,390.752,4.70595,-0.529458,1.0,15.1888,0.016808,15.1222,0.0174925,15.0605,0.0206182,49
129.0,4531.8,12.7083,15506.2,182.574,21451.0,270.742,25181.5,391.956,4.70307,-0.528024,-1.0,14.8595,0.0127838,14.8472,0.0137036,14.8412,0.0168998,50
