RunningID,Ra,Dec,X,Y,Flux1,dFlux1,Flux2,dFlux2,Flux3,dFlux3,Class,Mag1,dMag1,Mag2,dMag2,Mag3,dMag3,StarID,MJD,FieldId
49.0,6666.83,8.68575,17726.2,290.635,23883.5,422.529,28422.4,608.151,4.70663,-0.529795,-1.0,15.1991,0.0178016,15.3045,0.0192081,15.3806,0.0232314,0,57257.044108,1
56.0,6831.77,9.00594,20187.3,291.456,28806.1,423.7,35285.8,609.333,4.7069,-0.52993,-1.0,15.058,0.0156755,15.101,0.0159698,15.1458,0.0187491,1,57257.044108,1
58.0,6345.25,9.58769,15147.9,289.965,20763.5,421.972,24683.3,607.675,4.70609,-0.52953,-1.0,15.3698,0.0207836,15.4565,0.0220653,15.5338,0.0267298,2,57257.044108,1
77.0,5887.74,11.2389,4039.71,283.278,5890.68,415.78,6950.09,603.204,4.70533,-0.529153,-1.0,16.8048,0.0761356,16.8243,0.0766344,16.9098,0.0942323,3,57257.044108,1
69.0,5800.01,10.4917,15412.9,287.714,19956.3,419.815,22964.6,606.618,4.70518,-0.529082,0.0,15.351,0.0202676,15.4995,0.0228404,15.6121,0.0286802,4,57257.044108,1
57.0,6865.15,8.76297,27142.9,293.681,37262.5,425.629,45072.8,610.922,4.70696,-0.529958,-1.0,14.7365,0.0117475,14.8215,0.0124018,14.88,0.0147163,5,57257.044108,1
60.0,6562.11,9.38471,17514.7,290.669,22716.9,422.388,26654.2,608.016,4.70645,-0.529709,0.0,15.2122,0.0180187,15.3588,0.0201878,15.4504,0.0247671,6,57257.044108,1
61.0,6570.06,9.92956,12531.0,289.135,16750.2,421.095,19678.8,606.951,4.70647,-0.529714,-1.0,15.5757,0.025052,15.6897,0.0272952,15.7798,0.0334873,7,57257.044108,1
63.0,5432.87,10.6371,9968.74,282.556,12895.6,415.195,15502.8,603.841,4.70457,-0.52878,-1.0,15.8241,0.0307744,15.9736,0.0349572,16.0388,0.04229,8,57257.044108,1
76.0,6129.12,10.7055,19766.8,291.466,26501.1,423.302,31413.8,608.787,4.70573,-0.529352,-1.0,15.0808,0.0160095,15.1916,0.0173425,15.272,0.0210412,9,57257.044108,1
75.0,6459.37,10.6523,19604.9,291.277,29988.9,423.958,36757.0,609.525,4.70628,-0.529622,-1.0,15.0898,0.0161313,15.0573,0.0153493,15.1014,0.0180043,10,57257.044108,1
91.0,5588.69,12.16,4421.53,283.928,6725.24,416.589,8898.6,604.262,4.70483,-0.528906,-1.0,16.7067,0.0697207,16.6804,0.0672552,16.6415,0.0737275,11,57257.044108,1
87.0,5915.47,11.3711,17307.7,288.078,26420.8,421.029,32541.5,607.898,4.70538,-0.529175,-1.0,15.2251,0.0180716,15.1948,0.0173018,15.2337,0.0202824,12,57257.044108,1
99.0,4232.59,12.3288,15051.6,268.904,23283.3,400.714,29883.1,590.387,4.70258,-0.527791,-1.0,15.3767,0.0193973,15.3321,0.018686,15.3262,0.0214505,13,57257.044108,1
103.0,5823.94,12.553,8715.57,285.37,12976.7,418.007,16653.8,605.349,4.70523,-0.529099,-1.0,15.9699,0.0355499,15.9668,0.0349741,15.961,0.0394656,14,57257.044108,1
