RunningID,Ra,Dec,X,Y,Flux1,dFlux1,Flux2,dFlux2,Flux3,dFlux3,Class,Mag1,dMag1,Mag2,dMag2,Mag3,dMag3,StarID
364492.0,7296.21,8333.78,4008.6,181.92,6574.77,258.455,9743.19,367.387,4.71552,-0.518309,-2.0,15.5027,0.0492735,15.5021,0.0426806,15.4882,0.0409401,300000
364362.0,5231.48,8330.99,4779.84,168.993,7731.49,243.934,11039.0,351.69,4.71209,-0.516631,-1.0,15.3117,0.0383866,15.3262,0.0342558,15.3526,0.0345905,300001
364444.0,5221.6,8332.92,5918.13,169.604,9642.17,244.661,13875.0,352.457,4.71208,-0.51662,-1.0,15.0797,0.0311155,15.0864,0.0275497,15.1044,0.0275802,300002
364824.0,6159.75,8335.12,2312.99,149.415,3770.94,220.992,5508.05,329.516,4.71363,-0.517382,-1.0,16.0998,0.0701367,16.1057,0.0636285,16.1075,0.0649538,300003
364376.0,10715.9,8333.95,888.999,169.821,1430.6,243.924,2103.42,352.568,4.7212,-0.521083,1.0,17.138,0.207404,17.1581,0.185124,17.1526,0.181988,300004
364554.0,4890.08,8323.78,48250.7,189.639,77760.3,267.378,114519.0,376.803,4.71152,-0.516363,-1.0,12.8014,0.00426727,12.82,0.00373331,12.8128,0.00357242,300005
364555.0,4878.66,8328.12,11057.9,171.171,18158.9,246.082,26737.9,354.183,4.7115,-0.516347,-1.0,14.401,0.0168068,14.3991,0.0147135,14.3921,0.0143822,300006
364556.0,4888.64,8333.55,4988.34,167.248,8457.23,241.622,12690.4,349.624,4.71153,-0.516348,-1.0,15.2653,0.0364026,15.2288,0.0310195,15.2013,0.0299124,300007
364557.0,4889.22,8316.16,5349.88,168.147,8952.04,242.623,14075.6,350.799,4.71151,-0.516373,-1.0,15.1893,0.034125,15.167,0.0294263,15.0888,0.0270592,300008
364545.0,5200.67,8336.46,1272.55,167.231,2117.57,241.942,2963.24,349.662,4.71205,-0.516598,-1.0,16.7485,0.142682,16.7323,0.124051,16.7805,0.128117,300009
364567.0,2373.19,8317.2,55151.5,214.569,90252.1,298.254,131846.0,408.955,4.70735,-0.514315,-1.0,12.6563,0.00422412,12.6582,0.00358802,12.6598,0.00336769,300010
364568.0,2382.97,8333.51,17503.7,195.619,28665.7,275.974,41506.3,385.399,4.70738,-0.514299,-1.0,13.9024,0.0121341,13.9034,0.0104528,13.9147,0.0100814,300011
364566.0,2379.35,8307.34,4145.45,188.509,6842.98,267.714,9907.63,376.883,4.70735,-0.514334,-1.0,15.4663,0.0493726,15.4587,0.0424768,15.47,0.0413011,300012
364504.0,4079.69,8335.95,930.959,171.341,1515.55,246.114,2093.01,353.864,4.71019,-0.515684,-1.0,17.0879,0.199828,17.0954,0.176317,17.158,0.183565,300013
364511.0,6631.65,8335.58,1178.26,148.795,1948.58,220.285,2757.38,328.76,4.71442,-0.517766,1.0,16.8321,0.13711,16.8226,0.122742,16.8587,0.129452,300014
364563.0,2214.82,8334.37,6832.73,189.333,11525.1,268.764,17329.7,378.156,4.7071,-0.51416,1.0,14.9237,0.0300856,14.8927,0.0253194,14.863,0.0236921,300015
364655.0,1663.84,8337.82,1238.76,189.175,2177.32,268.526,3574.21,377.72,4.7062,-0.513704,1.0,16.7777,0.165807,16.702,0.133903,16.577,0.11474,300016
364652.0,1474.27,8337.94,1318.34,189.231,2213.71,268.559,3379.94,377.694,4.70589,-0.513548,1.0,16.7101,0.155844,16.684,0.131718,16.6377,0.121327,300017
364654.0,454.642,8337.48,3744.52,153.837,6156.93,227.005,8506.6,337.08,4.7042,-0.512712,-1.0,15.5767,0.0446057,15.5734,0.0400311,15.6356,0.0430233,300018
364660.0,358.913,8335.78,7676.82,155.96,12804.6,229.557,18836.5,339.903,4.70404,-0.512636,-1.0,14.7973,0.0220576,14.7784,0.0194648,14.7725,0.0195921,300019
361300.0,580.879,8262.52,8263.69,156.277,13757.8,229.925,20356.2,340.324,4.70434,-0.512923,-1.0,14.7173,0.0205328,14.7005,0.0181452,14.6882,0.0181519,300020
364640.0,545.54,8330.75,14778.1,159.75,24604.6,234.058,36373.7,344.707,4.70435,-0.512796,-1.0,14.0862,0.0117367,14.0693,0.0103284,14.058,0.0102894,300021
364638.0,573.007,8287.01,107491.0,202.355,229354.0,300.724,477015.0,446.85,4.70435,-0.512882,-1.0,11.9318,0.00204393,11.6456,0.0014236,11.2636,0.00101708,300022
