170000,16.3942,16.9216,15.0374,16.5015,14.7779
170006,15.4325,15.9954,14.0127,15.5155,13.6869
170007,15.9921,16.5143,14.721,16.1766,14.4489
170012,13.8496,14.3447,12.8985,14.0139,12.307
170014,14.464,15.0353,13.0391,14.5338,12.6529
170015,15.8988,16.3597,14.6249,16.0799,14.4446
170016,12.6247,12.5855,13.7138,13.7074,11.8711
170017,16.1253,16.574,14.8146,16.2379,14.4449
170018,13.3206,13.736,12.9847,13.4687,11.5658
170019,15.0433,15.486,13.572,15.1039,13.2285
170023,15.6044,16.0909,14.1632,15.6933,13.9123
170025,15.4007,15.9502,13.9621,15.5115,13.7305
170026,15.4595,15.8982,14.1311,15.6165,13.9476
170028,15.6303,16.1225,14.2157,15.7559,14.0309
170029,15.5461,15.893,14.5405,15.84,14.3748
170030,15.131,15.6555,13.7367,15.1731,13.2998
170033,15.4976,15.9182,14.2168,15.6351,13.9175
170034,16.1778,16.6499,14.9227,16.3322,14.6917
170035,16.3303,16.5068,14.7409,16.2058,14.6379
170038,16.1398,16.5624,14.7156,16.211,14.427
170042,13.1317,13.2655,12.9861,13.7613,12.7513
170043,13.9887,14.5455,12.9193,14.0332,12.0782
170044,15.8956,16.3559,14.6139,16.0647,14.3548
170048,16.6406,17.1625,15.4252,16.8477,15.1691
170049,15.3086,15.7291,14.0829,15.4754,13.7153
170056,13.4791,14.0656,13.2532,13.675,11.7508
170058,16.2658,16.761,14.9976,16.4266,14.8657
170059,13.5145,14.0645,13.9003,13.8153,11.803
170060,14.377,14.9379,13.542,14.3883,12.4222
170062,15.4882,15.9533,14.0684,15.549,13.7854
170066,16.4789,16.8583,15.2703,16.7154,15.0972
170067,16.5044,16.8726,15.2753,16.7165,15.1201
170070,13.8971,14.4625,13.5936,14.0027,11.9662
170072,16.3083,16.8061,14.9074,16.3958,14.7191
170073,16.5873,17.1116,15.2065,16.6982,15.0304
170075,13.6769,14.1156,12.9102,13.836,12.0536
170077,16.0807,16.4971,14.8273,16.2351,14.6306
170082,14.8083,15.2719,13.6498,14.9206,13.2298
170085,15.964,16.3807,14.5922,16.106,14.4479
170086,16.7089,17.1616,15.3437,16.8204,15.1436
170087,16.4345,16.8789,15.0894,16.5425,14.909
