n,YJ,JH
442,-0.133900000000001,1.3947
443,-0.0368999999999993,1.5118
444,-0.120999999999999,1.6802
445,-0.150399999999998,1.5707
446,0.0259,1.6121
447,-0.345500000000001,0.983699999999999
448,-0.2028,1.5947
449,-0.167999999999999,1.2738
450,-0.131699999999999,1.4322
451,0.0272000000000006,1.5518
452,-0.111499999999999,1.5353
453,-0.253399999999999,1.2072
454,-0.3658,1.2188
455,-0.2864,1.3257
456,-0.186999999999999,1.3743
457,-0.122600000000002,1.5911
458,-0.152699999999999,1.564
459,-0.2758,1.3313
460,-0.0366,1.2589
461,-0.164299999999999,1.2816
462,-0.2042,1.1801
463,-0.1051,1.5871
464,-0.063600000000001,1.5445
465,-0.2546,1.4149
466,-0.00959999999999894,1.5305
467,-0.0338999999999992,1.4654
468,-0.0675000000000026,1.5715
469,-0.0464999999999982,1.5367
470,0.206499999999998,1.4534
471,-0.303199999999997,1.3211
472,-0.9122,-0.0448000000000004
473,-0.456299999999999,1.292
474,-0.218999999999998,1.5638
475,-0.1624,1.1255
476,-0.214000000000002,1.5552
477,-0.8409,1.4053
478,-0.0647000000000002,1.5509
479,-0.0951000000000022,1.4838
480,-0.0152000000000001,1.5417
481,-0.0214999999999996,1.6335
482,-0.1707,1.6669
483,-0.0221000000000018,1.3844
484,-0.0168999999999997,1.4349
485,-0.535599999999999,1.6688
486,-0.0746000000000002,1.5488
487,-0.180700000000002,1.4416
488,-0.0943000000000005,1.5461
489,-0.107199999999999,1.467
490,-0.250200000000001,1.3347
491,0.137099999999997,1.5253
492,-0.2743,1.3907
493,0.0448000000000022,1.4072
494,0.00219999999999843,1.5416
495,-0.0772000000000013,1.4835
496,-0.131999999999998,1.4152
497,-0.263400000000001,1.3241
498,-0.316600000000001,1.2167
499,-0.151799999999998,1.4559
500,0.0981999999999985,1.6911
501,-0.00450000000000017,1.4926
502,-0.00659999999999883,1.4552
503,-0.353999999999999,1.1351
504,-0.1469,1.4277
505,-0.0839999999999996,1.3589
506,-0.100200000000001,1.4287
507,-0.185799999999997,1.3929
508,-0.0361000000000011,1.6237
509,-0.0967999999999982,1.5295
510,-0.0384000000000029,1.5701
511,-0.0196999999999967,1.4543
512,-0.236699999999999,1.2466
513,-0.0681000000000012,1.2315
514,-0.0044000000000004,1.5123
515,0.0116999999999976,1.6698
516,-0.126800000000003,1.6226
517,-0.139199999999999,1.6975
518,-0.1249,1.6373
519,0.000800000000001688,1.7667
520,-0.0364000000000004,1.6576
521,-0.157499999999999,1.579
522,-0.130399999999998,1.5992
523,-0.118599999999997,1.5112
524,-0.123799999999999,1.4875
525,-0.215800000000002,1.3411
526,0.0139999999999993,1.483
527,-0.0694000000000017,1.1722
528,-0.125600000000002,1.4399
529,0.0827000000000009,1.4777
530,-0.0725000000000016,1.3257
531,-0.224400000000003,1.316
532,-0.228200000000001,1.4518
533,-0.123999999999999,1.5656
534,0.0945999999999998,1.5963
535,0.0106000000000002,1.5218
536,-0.516699999999998,1.155
537,-0.151300000000003,1.6387
538,-0.1629,1.6308
539,0.067499999999999,1.6473
540,0.0032000000000032,1.5524
541,-0.101900000000001,1.5493
542,0.0849999999999991,1.0469
543,-0.121700000000001,1.506
544,-0.193099999999998,1.517
545,-0.158099999999999,0.2029
546,0.0304000000000002,1.2391
547,-0.00900000000000034,1.2692
548,-0.187000000000001,1.5804
549,-0.348100000000001,0.524700000000001
550,-0.1172,1.5513
551,0.165900000000001,1.5186
552,-0.100300000000001,1.3081
553,-0.0696000000000012,1.4497
554,-0.119799999999998,1.4759
555,-0.2013,1.5167
556,-0.195599999999999,1.6307
557,-0.115400000000001,1.6085
558,-0.0977999999999994,1.5334
559,0.1081,1.5799
560,-0.220500000000001,1.4727
561,-0.108499999999999,1.6013
562,-0.066200000000002,1.466
563,0.1158,1.5
564,0.0108999999999995,1.575
565,-0.111900000000002,1.5306
566,-0.145300000000001,1.3661
567,-0.131900000000002,1.5186
568,-0.168899999999997,1.4677
569,-0.487900000000003,1.1497
570,-0.388199999999998,1.184
571,-0.0904999999999987,1.4568
572,-0.0458999999999996,1.4798
573,-0.0686,1.6136
574,0.147299999999998,1.5501
575,-0.139700000000001,1.5377
576,0.0400999999999989,1.6089
577,0.0639000000000003,1.6126
578,0.0234999999999985,1.6789
579,0.0176000000000016,1.6507
580,-0.0618999999999978,1.3911
581,-0.0136000000000003,1.6245
582,-0.0950000000000024,1.4826
583,-0.0858000000000025,1.4942
584,0.0454000000000008,1.4305
585,-0.244600000000002,1.3497
586,-0.6511,0.8902
587,-0.1189,1.487
588,-0.3698,1.0175
589,0.00860000000000127,1.602
590,-0.0811999999999991,1.568
591,-0.436700000000002,1.1593
592,-0.2075,1.5896
593,-0.205200000000001,1.3394
594,-0.0100999999999978,1.5534
595,-0.211299999999998,1.4746
596,-0.127500000000001,1.3869
597,-0.0383999999999993,1.5492
598,-0.3735,1.1066
599,-0.156499999999998,1.3908
600,0.0511999999999979,1.6333
601,0.00549999999999784,1.6123
602,-0.0910000000000011,1.3999
603,-0.0553999999999988,1.5528
604,-0.445699999999999,1.1568
605,-0.00150000000000006,1.536
606,-0.00120000000000076,1.5618
607,-0.177600000000002,1.3094
608,-0.107999999999997,1.2418
609,-0.00990000000000002,1.6888
610,-0.066399999999998,1.6927
611,-0.0360999999999976,1.4301
612,-0.0179000000000009,1.4146
613,-0.0464999999999982,1.4913
614,-0.0570000000000022,1.5697
615,-0.361599999999999,0.9026
616,0.0952999999999999,1.5813
617,-0.093,1.5054
618,-0.00529999999999831,1.5637
619,-0.0581999999999994,1.3963
620,-0.0381,1.6779
621,0.0654999999999966,1.6014
622,-0.101099999999999,1.4459
623,0.0129000000000019,1.469
624,-0.017199999999999,1.5545
625,-0.0411999999999999,1.6063
626,-0.0737000000000005,1.4209
627,-0.0539999999999985,1.4656
628,-0.0425000000000004,1.4483
629,0.0839999999999996,1.7204
630,-0.3355,1.1928
631,0.0849000000000011,1.5381
632,-0.119900000000001,1.6431
633,-0.680099999999999,0.400499999999999
634,-0.432400000000001,1.6092
635,-1.5267,2.6607
636,-0.2105,1.2176
637,-0.3264,1.146
638,-0.0893000000000015,1.5077
639,-0.219900000000003,1.4447
640,-0.348000000000001,1.1311
641,0.0603999999999996,1.6909
642,0.0119000000000007,1.6118
643,0.1693,1.5213
644,0.0606999999999971,1.3026
645,-0.131800000000002,1.3608
646,-0.174900000000001,1.2752
647,-0.134,1.2814
648,0.0809999999999995,1.5926
649,-0.0723999999999982,1.3098
650,-0.130599999999999,1.4888
651,0.172000000000001,1.4038
652,0.0405999999999977,1.5188
653,-0.1052,1.4961
654,-0.1082,1.4186
655,0.0574999999999974,1.6081
656,0.2424,1.1027
657,0.113699999999998,1.4738
658,0.170399999999999,1.6392
659,-0.0469000000000008,1.5596
660,-0.154600000000002,1.3858
661,0.0419,1.4857
662,-0.0287999999999986,1.7597
663,0.0990000000000002,1.5753
664,-0.1081,1.3936
665,-0.193200000000001,0.166500000000001
666,-0.228300000000001,1.2476
667,-0.0509000000000004,1.33
668,-0.0771999999999995,1.6394
669,-0.119400000000002,1.5482
670,-1.7479,2.1891
671,-0.499500000000001,0.843200000000001
672,-0.0903999999999989,1.4753
673,-0.0188000000000006,1.5982
674,-0.112099999999998,1.3819
675,-0.089100000000002,1.1817
676,-0.176500000000001,1.313
677,-0.171399999999998,1.4174
678,-0.124100000000002,1.5187
679,-0.133099999999999,1.7702
680,-0.0448000000000004,1.6634
681,-0.120799999999999,1.5963
682,-0.188400000000001,1.4808
683,0.0530999999999988,1.6356
684,0.1067,1.465
685,-0.0597999999999992,1.6246
686,-0.0792999999999999,1.5296
687,-0.0463999999999984,1.4837
688,-0.242699999999999,1.5508
689,-0.138500000000001,1.2508
690,-0.2759,1.3972
691,0.0213000000000001,1.5239
692,0.130800000000001,1.4777
693,-0.182100000000002,1.3213
694,-0.6739,1.1461
695,0.0634000000000015,1.4987
696,-0.0505999999999993,1.4057
697,-0.1663,1.4032
698,0.0991,1.5428
699,-0.5275,1.3789
700,-0.7056,1.4156
701,-0.000999999999999446,1.5758
702,0.00969999999999871,1.6052
703,-0.142500000000002,1.5028
704,-0.0701999999999998,1.4713
705,-0.180999999999997,1.5047
706,0.507899999999999,1.0465
707,-0.321899999999999,1.3774
708,-0.030899999999999,1.5048
709,-0.0396000000000001,1.5
710,0.180400000000002,1.1283
711,-0.0805000000000007,1.4132
712,-0.4496,0.9535
713,-0.1677,1.5696
714,0.4634,0.126899999999999
715,0.1463,1.9688
716,-0.0919000000000025,1.5189
717,-0.185100000000002,1.3173
718,-0.00400000000000134,1.585
719,-0.3401,1.376
720,-0.115000000000002,1.4636
721,-0.0739000000000019,1.4836
722,-0.0410000000000004,1.6551
723,-0.0853000000000002,1.5712
724,-0.103200000000001,1.5744
725,-0.1938,1.6581
726,-0.124600000000001,1.4167
727,0.166200000000002,1.4927
728,0.065900000000001,1.4931
729,0.0603999999999978,1.3702
730,-0.116199999999999,1.361
731,-0.1356,1.2519
732,-0.159000000000002,1.4414
733,-0.183699999999998,1.4128
734,-0.0243000000000002,1.5773
735,0.0585000000000004,1.6664
736,-0.0244999999999997,1.5446
737,-0.1021,0.423999999999999
738,-0.1347,1.6074
739,-0.1157,1.5627
740,-0.132099999999998,1.5497
741,-0.151600000000002,1.4693
742,-0.00360000000000049,1.6027
743,-0.109300000000001,1.6297
744,-0.1584,1.5271
745,-0.116500000000002,1.5313
746,-0.0794000000000032,1.5794
747,-0.0962999999999994,1.5604
748,-0.3369,1.1291
749,-0.3916,1.122
750,0.0166000000000004,1.535
751,-9.99999999997669e-05,1.5473
752,-0.754899999999999,0.633599999999999
753,-0.0599000000000025,1.5124
754,-0.120900000000002,1.1626
755,-0.1556,1.4432
756,0.129200000000001,1.4954
757,-0.0531000000000006,1.4322
758,-0.0141000000000027,1.5583
759,0.166399999999999,1.6177
760,-0.213100000000001,1.5493
761,0.0405000000000015,0.134399999999999
762,0.0457999999999998,1.4992
763,0.137599999999999,1.5291
764,-0.402100000000001,1.1072
765,-0.204999999999998,1.6123
766,-0.185099999999998,1.5711
767,-0.140300000000003,1.5963
768,-0.1539,1.4999
769,-0.477699999999999,1.1773
770,-0.114799999999999,1.5504
771,-0.288499999999999,0.897100000000002
772,-0.117599999999999,1.4555
773,0.0922999999999998,0.924200000000001
774,0.0908999999999995,1.5431
775,-0.0542999999999978,1.4369
776,-0.1919,1.407
777,-0.0511999999999979,1.4858
778,-0.0824999999999996,1.4033
779,-0.1191,1.4164
780,-0.1876,1.3697
781,-0.371200000000002,1.0898
782,-0.0463000000000005,0.0893999999999995
783,-0.0661999999999985,1.5874
784,-0.3331,1.3252
785,-0.1327,1.5771
786,-0.119400000000002,1.5167
787,-0.1084,1.3998
788,-0.0264000000000024,1.6166
789,-0.0884999999999998,1.3942
790,0.0565999999999995,1.3496
791,-0.0471000000000004,1.5969
792,-0.0714000000000006,1.2802
793,-0.296500000000002,1.147
794,-0.0105000000000004,1.5226
795,-0.1351,1.4763
796,-0.396599999999999,1.2313
797,-0.00979999999999848,1.5639
798,-0.132899999999999,1.5256
799,-0.1174,1.5348
800,-0.0891999999999999,1.6603
801,-0.0914000000000001,1.433
802,0.1075,1.6452
803,0.0886999999999993,1.5379
804,0.219099999999999,0.708400000000001
805,0.117899999999999,1.5816
806,0.00329999999999941,1.5213
807,-0.627700000000001,1.7789
808,-0.100899999999999,1.6445
809,-0.00730000000000075,1.6106
810,-0.0521999999999991,1.4724
811,-0.185700000000001,1.6024
812,-0.0535000000000032,1.4539
813,-0.0359000000000016,1.2983
814,-0.160800000000002,1.3899
815,-0.301600000000001,1.0708
816,-0.463699999999999,1.0944
817,-0.0519999999999996,1.5576
818,-0.0435000000000016,1.4603
819,-0.127299999999998,1.4678
820,-0.145299999999999,1.3298
821,0.0252999999999997,1.7259
822,-0.131500000000003,1.4923
823,-0.164999999999999,1.5335
824,0.014999999999997,1.434
825,0.0228000000000002,1.4171
826,-0.0242000000000004,1.5106
827,0.1083,2.1113
828,-0.3233,1.2034
829,-0.0737999999999985,1.379
830,-0.0426000000000002,1.5152
831,0.0275999999999996,1.6324
832,-0.283999999999999,1.5262
833,-0.0280000000000005,1.3284
834,-0.0974000000000004,1.4108
835,-0.0890000000000022,1.7341
836,0.136999999999999,1.8016
837,0.0143000000000004,1.6502
838,-0.2751,1.4013
839,-0.130800000000001,1.6702
840,-0.1365,1.5204
841,-1.9404,2.1402
842,-0.0493999999999986,1.4318
843,0.0192999999999994,0.8576
844,-0.1096,1.514
845,-0.0544000000000011,1.4767
846,-0.0622000000000007,1.58
847,-0.175599999999999,1.2515
848,0.258900000000001,0.408999999999999
849,0.0363000000000007,1.4095
850,-0.3629,1.2458
851,-0.217200000000002,1.5848
852,0.014400000000002,1.4439
853,0.0671999999999997,1.5511
854,-0.192799999999998,1.5201
855,-0.1844,1.4112
856,-0.0938999999999997,1.5465
857,-0.0642999999999994,1.4439
858,-0.360099999999999,0.880799999999999
859,-0.0519999999999996,1.6361
860,-0.0838000000000001,1.5528
861,-0.106400000000001,1.5123
862,-0.0350999999999999,1.4314
863,-0.0106999999999999,1.4337
864,0.306999999999999,1.5198
865,0.0137,1.4923
866,-0.3001,1.2714
867,-1.5767,-1.092
868,-0.0863999999999976,1.4419
869,-0.0044000000000004,1.3727
870,0.520800000000001,1.6078
871,0.0192999999999977,1.6017
872,-0.0337000000000032,1.5728
873,-0.185400000000001,1.9472
874,-0.3416,1.2405
875,-0.2997,-0.0195000000000007
876,-0.145700000000001,1.4054
877,-0.179699999999999,1.3661
878,-0.125300000000001,1.4158
879,-0.0923999999999978,1.3651
880,-0.198699999999999,1.4524
881,-0.0325000000000024,1.4866
882,-0.545999999999999,0.771099999999999
883,-0.291599999999999,1.3967
884,-0.125699999999998,1.4291
885,-0.131200000000003,1.5179
886,-0.0721000000000007,1.3902
887,-0.0948999999999991,1.513
888,-0.412099999999999,1.089
889,0.0944000000000003,1.4969
890,-0.352900000000002,1.1538
891,-0.0641999999999996,1.4171
892,0.0291000000000015,1.2756
893,0.0307999999999993,1.3204
894,-0.138400000000001,1.499
